"","Row.names","vectorbase.RU","display.name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","gene1001","AAEL006751","",1244.2005604486,0.533143429920297,0.105357993886285,5.06030354465302,4.18589551402048e-07,6.41919972013828e-06
"2","gene10040","AAEL002102","",1271.44608753036,0.314738927498743,0.0997871565278553,3.15410257642611,0.00160992488202418,0.00905574000349369
"3","gene10051","AAEL002125","",1198.43077965807,-0.460146282642942,0.146747265424425,-3.13563786904036,0.00171480805139291,0.0095581210079126
"4","gene10057","AAEL002130","",1970.50045519765,0.429023154274108,0.137011548159809,3.13129192419386,0.00174039066406498,0.00966361062419262
"5","gene10061","AAEL002103","",64.5826106841614,-2.69607074685549,0.382846618573202,-7.04216941213493,1.89269500933131e-12,7.16290979701026e-11
"6","gene10075","AAEL018268","",1188.16812167944,-0.857853011382904,0.154466506788568,-5.55365062121281,2.79764381647381e-08,5.36443020986972e-07
"7","gene10078","AAEL006339","",374.523518077221,-1.52312692162637,0.287473655191332,-5.29831827759185,1.16874113921211e-07,1.98257097835156e-06
"8","gene10091","AAEL006337","",1248.96164883395,0.478225510084012,0.115649236031203,4.13513764980674,3.54741939245953e-05,0.000338850547576411
"9","gene10094","AAEL006340","",124.792374054031,-1.07954651156605,0.292565174590813,-3.68993511642635,0.000224311256210554,0.00169385098549195
"10","gene10095","AAEL006354","",23.1163501505247,-1.65668304901515,0.375007298096725,-4.41773548787801,9.97403767367765e-06,0.000109773783682321
"11","gene10102","AAEL018118","",290.126303783516,-1.60991891727654,0.332392066539972,-4.84343364158765,1.27614353908214e-06,1.75155098900744e-05
"12","gene10103","AAEL006353","",49.7020397183333,-2.38786487182797,0.314527616862811,-7.59190844875631,3.15227720091572e-14,1.56321547170315e-12
"13","gene10106","AAEL006335","",91.7671173281959,1.1166709485459,0.236977273709756,4.7121436206308,2.45124517031282e-06,3.12884282439436e-05
"14","gene10112","AAEL006815","",2356.85264715512,-0.341803576361589,0.102898840989247,-3.32174369580418,0.000894568258537512,0.00555052587260355
"15","gene10113","AAEL006791","",2903.98896598495,-0.815321627538776,0.128151625974877,-6.36216373640561,1.98931208561646e-10,5.51341891309075e-09
"16","gene10122","AAEL018123","",4665.184133829,-0.496918854336019,0.132703630488444,-3.7445761845927,0.000180698541384522,0.00141230750068832
"17","gene10130","AAEL006800","",405.171529399544,-1.10012921904179,0.271784731244815,-4.04779626141259,5.17021194445303e-05,0.000473923889497561
"18","gene10134","AAEL006802","",650.093425843459,-1.74524113523705,0.158099044715587,-11.0389100603148,2.48023395560021e-28,8.23119694547012e-26
"19","gene10135","AAEL006785","",105449.813354253,1.03910316373517,0.119100029366764,8.72462558791891,2.67062757390925e-18,2.57954721560503e-16
"20","gene10139","AAEL018124","",1399.69881790911,-0.688403720595251,0.177018664658044,-3.88887647483432,0.000100709356328519,0.000847517034434344
"21","gene10158","AAEL007584","",137.172966896809,-2.64197274212427,0.37744212194127,-6.99967647631909,2.56554238222778e-12,9.59637933121300e-11
"22","gene10161","AAEL007585","",158.498826122686,-3.25272519843012,0.305064228107258,-10.6624274455623,1.52562614149936e-26,4.59213468591307e-24
"23","gene10163","AAEL009164","",220.480648801164,0.763268930337479,0.158431184289899,4.81766852755983,1.4524539942332e-06,1.97055681838158e-05
"24","gene10175","AAEL004513","",2966.20630820071,-1.36175917148806,0.167498960329174,-8.12995596397664,4.29446413384147e-16,2.85042304022103e-14
"25","gene10196","AAEL004523","",9573.2314104384,1.35888318467248,0.135902034781655,9.99899072045317,1.53958124922497e-23,3.26668854241293e-21
"26","gene10209","AAEL010399","",458.56684139894,-0.760761976544423,0.237181850627423,-3.20750502001718,0.00133891723753241,0.00778858687882339
"27","gene10220","AAEL003568","",1068.08424643953,-0.342993997093496,0.106223960958117,-3.2289701306538,0.00124236869994019,0.00732239439131415
"28","gene10241","AAEL012781","",2586.33607788204,-0.90606107360401,0.184813842080744,-4.90256067079738,9.45953851386091e-07,1.34101650585873e-05
"29","gene10246","AAEL017244","",865.433050186757,-1.05324654521154,0.230517852209084,-4.56904545621147,4.89950521679909e-06,5.81782532303033e-05
"30","gene10265","AAEL009214","",2791.29750666066,-1.17111514499499,0.172714779627175,-6.78063074580523,1.19652336631054e-11,4.03296925264514e-10
"31","gene10268","AAEL017240","",2494.52962874986,-0.610881294693903,0.191690895937605,-3.18680389961109,0.00143854273030981,0.00827146093220783
"32","gene1027","AAEL006727","",4214.97747917168,0.769050597921061,0.0802470188897693,9.58354102820271,9.37735562103289e-22,1.49840881238307e-19
"33","gene10276","AAEL014903","",28810.4187153883,1.01438684089608,0.170802128800828,5.93895900489015,2.86837574430427e-09,6.66524008232141e-08
"34","gene10277","AAEL014904","",3075.29678934965,0.819470759740636,0.0903886957705324,9.06607571616043,1.23380719465045e-19,1.50558626491239e-17
"35","gene1028","AAEL006720","",51.7836005461575,-2.32228872110382,0.382774940030378,-6.06698213033361,1.30336052180544e-09,3.20102376351571e-08
"36","gene10281","AAEL013021","",7224.47651873607,1.21120326069366,0.167493499502804,7.23134488376599,4.78234123334429e-13,2.02943746174345e-11
"37","gene10286","AAEL013020","",412.800976680937,0.715040814258648,0.208649899283963,3.42698854258976,0.00061031482051956,0.00403231481469355
"38","gene10292","AAEL010132","",1654.20240827086,0.374773553774739,0.119590550310389,3.1338057463741,0.00172555046695577,0.00960114569424486
"39","gene1030","AAEL006743","",1640.6487047619,0.403084710855828,0.0904474864560032,4.45656067017299,8.32850381994421e-06,9.32489835134411e-05
"40","gene10317","AAEL018263","",475.780208357575,-1.33049385472971,0.360742313283267,-3.68821124037357,0.000225836127954777,0.00170139522940551
"41","gene10318","AAEL013661","",10846.0898029524,-0.834078841790595,0.148020734145637,-5.63487842838255,1.75181873817375e-08,3.51531626793533e-07
"42","gene10324","AAEL015057","",1263.8965097573,-0.594273143795871,0.145245119305174,-4.09151885198459,4.28557100176655e-05,0.000401652030962089
"43","gene10334","AAEL003103","",21903.9771198103,0.252862244930717,0.0709981615186613,3.56153229213201,0.000368696750342688,0.002614817555992
"44","gene1034","AAEL006749","",1212.11923304986,-1.19207023489557,0.231723224182861,-5.1443710016518,2.68418616715506e-07,4.26798790681671e-06
"45","gene10347","AAEL004297","",41285.4502489676,-0.497528074570098,0.157884323331269,-3.15121896887886,0.00162590546115445,0.00912975895172324
"46","gene1035","AAEL006745","",161.000556744125,0.862677561422156,0.229669040057697,3.75617698060407,0.000172528706901897,0.00135747054919833
"47","gene10350","AAEL004302","",141.079069880577,-2.17419618625949,0.359096691937093,-6.05462605219536,1.40744228424113e-09,3.43708028017602e-08
"48","gene10351","AAEL004282","",830.818176385094,0.539719951702493,0.126314101181528,4.27284006024675,1.92998895043803e-05,0.000196691708547397
"49","gene10352","AAEL004274","",2264.85445161743,-0.763541918970508,0.204157096631988,-3.73997246026114,0.0001840404178715,0.00143237229615805
"50","gene10360","AAEL004288","",2760.03294571446,0.436314062319897,0.0824977691970396,5.28879831014333,1.23122561013709e-07,2.06957832103953e-06
"51","gene1037","AAEL006734","",1758.88633434733,0.468592159401758,0.0988576814955423,4.74006827100115,2.13646219536269e-06,2.78752320509871e-05
"52","gene10371","AAEL004285","",760.096338298959,-0.826635818427126,0.178594437673451,-4.62856418820041,3.68209738483899e-06,4.50874044011079e-05
"53","gene10379","AAEL015239","",1524.05653596827,-0.571110930025546,0.157207376567825,-3.63285071282356,0.000280307207306363,0.00206254473232874
"54","gene10384","AAEL014307","",3462.32815372322,-0.293039767661412,0.0887037650790072,-3.30357755840923,0.000954595598565511,0.00586951583479022
"55","gene10395","AAEL006211","",367.957272388104,-0.970381736793828,0.252751300875919,-3.83927494509795,0.000123398182908163,0.00101213097679363
"56","gene10397","AAEL006222","",14019.5500464625,-0.312543404967521,0.0949982254725533,-3.28999203314403,0.001001902194301,0.00611103680529584
"57","gene10400","AAEL006221","",1003.46647007975,0.625466713036199,0.110207618642566,5.67534913411714,1.38406076916216e-08,2.8255360465719e-07
"58","gene10402","AAEL006216","",3166.33989039641,-0.47399244087365,0.107220151615828,-4.42074025946145,9.83633510813596e-06,0.000108535111086619
"59","gene10408","AAEL001384","",983.280013022103,-0.820305074790924,0.241602149976962,-3.3952722476565,0.000685603888535185,0.00443466823054018
"60","gene10411","AAEL001393","",2407.77507607548,-0.681069117629423,0.161631179103505,-4.21372362317102,2.51194637975583e-05,0.000250671719299766
"61","gene10426","AAEL001377","",465.462835068016,-0.727188269651685,0.136994389072265,-5.30816097342562,1.10736825186799e-07,1.89247355819761e-06
