"","Row.names","vectorbase.RU","display.name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","gene10103","AAEL006353","",143.43287767625,-0.956782103894503,0.226558597192558,-4.22311099976184,2.40953074919793e-05,0.00184357787203513
"2","gene10108","AAEL006348","",119.806864444438,0.785750738417589,0.171063036597791,4.5933402916556,4.36206882247491e-06,0.000386689880304086
"3","gene10146","AAEL007590","",785.445500175161,-6.15759832045484,0.187954776343805,-32.7610632740261,2.11256279865021e-235,2.71548822138498e-231
"4","gene10159","AAEL007599","",3575.87489707435,-3.77190044983468,0.229041132807474,-16.4682229938378,6.20669465114621e-61,1.99452132614583e-57
"5","gene10161","AAEL007585","",6859.42650901349,-2.56421410473718,0.223825466200164,-11.4563107955019,2.18630501669668e-30,3.12252940940213e-27
"6","gene10235","AAEL012776","",207.924947643367,-1.3954721541263,0.220195206693404,-6.33743202262043,2.33626229005731e-10,5.88829715223464e-08
"7","gene10301","AAEL010128","",460.748356246389,1.73410683066088,0.224284220226352,7.73173801041723,1.06088102703305e-14,5.2448325851857e-12
"8","gene1042","AAEL011957","",96.9411451209794,1.1002096628254,0.225615998421095,4.87647006650631,1.08001068179912e-06,0.000112865506535333
"9","gene10476","AAEL012698","",997.358124098282,0.621862123391047,0.126660922513764,4.90966046235349,9.12342204584109e-07,9.69193941960672e-05
"10","gene10518","AAEL013877","",1008.97237904036,-0.73170864055704,0.148402395710615,-4.93057161950321,8.19893502234649e-07,9.00286808560683e-05
"11","gene10530","AAEL006617","",161.039457376591,1.17529121749744,0.227097656201075,5.17526793168145,2.275841492028e-07,2.91721907976271e-05
"12","gene10602","AAEL003229","",22717.5391265053,0.948348711230287,0.122219995721899,7.75935807908363,8.53603266953052e-15,4.49402868493551e-12
"13","gene10625","AAEL003283","",7093.11820282661,0.962698972267414,0.155515405981099,6.19037687098614,6.00205368211898e-10,1.40273450963559e-07
"14","gene10665","AAEL017485","",1590.78434655316,0.979838808513658,0.105983655618968,9.24518788101032,2.34827790147004e-20,1.88654775909349e-17
"15","gene10666","AAEL003224","",301.290842703326,1.5105352160369,0.196749436944111,7.67745636022323,1.62278501301524e-14,7.44974234189211e-12
"16","gene10691","AAEL004728","",302.713484951197,-1.24422626825891,0.209246257410475,-5.94622949847143,2.74389375730971e-09,5.68871134781597e-07
"17","gene10706","AAEL004724","",3699.2676449725,0.948068417789627,0.186259673912823,5.09003585088074,3.57995823982399e-07,4.34120596365072e-05
"18","gene10708","AAEL004710","",1549.05480206201,-0.366892496073175,0.0727380921475081,-5.04402143692662,4.55848196041114e-07,5.37566303845182e-05
"19","gene10718","AAEL005957","",212.187443773372,1.01434667662688,0.184250048586233,5.50527223417338,3.68598230047339e-08,5.64043053455773e-06
"20","gene10819","AAEL009792","",1776.89869081281,0.915812953565686,0.156444061166912,5.85393236876276,4.80083913243177e-09,9.51127322869063e-07
"21","gene10972","AAEL009483","",549.558856156246,-0.724382203338305,0.173687934318649,-4.17059599551313,3.03804044402524e-05,0.0022836825653509
"22","gene11141","AAEL014141","",318.818089021823,-0.885426951224798,0.228708894671343,-3.87141458795106,0.000108205572871087,0.00694928919385407
"23","gene11156","AAEL007905","",857.704056233402,-0.674230494667652,0.176948601593372,-3.81031829919195,0.000138787986119632,0.0085949548479612
"24","gene11167","AAEL007909","",2408.11946280652,-0.586974606049452,0.150161579727755,-3.90895332290487,9.26968705743443e-05,0.00614188440393104
"25","gene11241","AAEL009362","",223.489349859197,-1.08835146820428,0.220805200312372,-4.92901193751143,8.26465251362693e-07,9.00286808560683e-05
"26","gene11415","AAEL013576","",215.303184853121,-1.07763096043533,0.205802906495045,-5.23622809214929,1.63891394387556e-07,2.24112764197622e-05
"27","gene11517","AAEL015432","",223.943313531546,-1.41336394346977,0.222540609331179,-6.3510383462932,2.13866383995413e-10,5.61028265281029e-08
"28","gene11537","AAEL017183","",344.801800857134,0.729814048378574,0.0888867760850878,8.21060320243758,2.20080051888537e-16,1.48889946682908e-13
"29","gene1160","AAEL006514","",12140.9561856024,-0.854527761207714,0.10631940763463,-8.03736382866547,9.17918154800978e-16,5.61853331514846e-13
"30","gene11669","AAEL018265","",71.6961475777479,1.32221492917602,0.164710828419173,8.02749243547676,9.94851013695641e-16,5.8126431500199e-13
"31","gene11671","AAEL017018","",1111.73395950656,1.07319848060021,0.152837985587101,7.02180466771856,2.19020598976213e-12,8.28026699776543e-10
